pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,Length.mat,10.TM4Aligned.sortedByCoord.out.mat,11.TM5Aligned.sortedByCoord.out.mat,12.TM6Aligned.sortedByCoord.out.mat,1.TF1Aligned.sortedByCoord.out.mat,2.TF2Aligned.sortedByCoord.out.mat,3.TF3Aligned.sortedByCoord.out.mat,4.TF4Aligned.sortedByCoord.out.mat,5.TF5Aligned.sortedByCoord.out.mat,6.TF6Aligned.sortedByCoord.out.mat,7.TM1Aligned.sortedByCoord.out.mat,8.TM2Aligned.sortedByCoord.out.mat,9.TM3Aligned.sortedByCoord.out.mat,Length.pat,10.TM4Aligned.sortedByCoord.out.pat,11.TM5Aligned.sortedByCoord.out.pat,12.TM6Aligned.sortedByCoord.out.pat,1.TF1Aligned.sortedByCoord.out.pat,2.TF2Aligned.sortedByCoord.out.pat,3.TF3Aligned.sortedByCoord.out.pat,4.TF4Aligned.sortedByCoord.out.pat,5.TF5Aligned.sortedByCoord.out.pat,6.TF6Aligned.sortedByCoord.out.pat,7.TM1Aligned.sortedByCoord.out.pat,8.TM2Aligned.sortedByCoord.out.pat,9.TM3Aligned.sortedByCoord.out.pat
TX_maternal_00019172_TX_paternal_00023355,TX_maternal_00019172,TX_paternal_00023355,X,Y,162439262,386763504,162442316,386766464,1518,8,30,19,17,29,11,31,6,28,8,74,17,1443,51,50,69,3,11,4,0,1,0,34,63,40
TX_maternal_00019177_TX_paternal_00023360,TX_maternal_00019177,TX_paternal_00023360,X,Y,162518591,387051821,162525706,387059040,3464,85,98,84,211,243,248,164,133,225,144,279,136,3539,362,347,476,46,45,20,24,26,78,452,506,462
TX_maternal_00019178_TX_paternal_00021803,TX_maternal_00019178,TX_paternal_00021803,X,Y,162578848,174368015,162589751,174379010,3228,1105,1018,980,2080,2320,2173,1310,903,3160,968,1638,943,3216,443,438,636,4,12,0,31,1,6,647,904,498
TX_maternal_00019179_TX_paternal_00021804,TX_maternal_00019179,TX_paternal_00021804,X,Y,162595255,174392449,162598363,174395546,1971,34,67,51,99,133,107,101,75,109,48,154,44,1962,85,68,77,4,12,6,9,11,12,61,131,65
TX_maternal_00019176_TX_paternal_00023358,TX_maternal_00019176,TX_paternal_00023358,X,Y,162492069,386921572,162499814,386929401,3378,4,5,14,27,32,16,223,12,32,10,59,279,3531,51,38,78,13,7,3,71,14,6,94,74,144
TX_maternal_00019196_TX_paternal_00021827,TX_maternal_00019196,TX_paternal_00021827,X,Y,164450537,176571402,164454376,176574246,900,68,73,88,67,127,61,80,102,94,101,92,57,1168,34,59,58,0,0,0,0,0,0,114,65,52
TX_maternal_00019197_TX_paternal_00021821,TX_maternal_00019197,TX_paternal_00021821,X,Y,164729232,176150958,164732555,176153073,1665,5,1,9,5,6,7,30,7,12,2,7,2,1427,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019198_TX_paternal_00021819,TX_maternal_00019198,TX_paternal_00021819,X,Y,164732793,176130017,164735148,176134591,1614,0,1,0,1,0,0,2,1,1,0,1,0,1455,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019200_TX_paternal_00021816,TX_maternal_00019200,TX_paternal_00021816,X,Y,164798757,175395410,164800559,175397224,1326,53,83,87,162,152,218,94,102,240,71,161,75,1338,156,176,187,47,60,82,57,37,74,163,358,143
TX_maternal_00019201_TX_paternal_00021815,TX_maternal_00019201,TX_paternal_00021815,X,Y,164825253,175315137,164827507,175317392,1008,2,0,2,0,2,0,0,1,1,0,0,0,1098,0,0,1,0,1,0,0,1,2,5,0,1
TX_maternal_00019202_TX_paternal_00021814,TX_maternal_00019202,TX_paternal_00021814,X,Y,164827619,175313451,164837106,175315025,447,6,9,19,29,36,26,19,7,22,26,27,0,360,0,2,1,0,0,0,0,0,0,0,2,0
TX_maternal_00019203_TX_paternal_00021813,TX_maternal_00019203,TX_paternal_00021813,X,Y,164838932,175269914,164844510,175278248,3366,332,824,652,653,420,477,387,221,831,830,329,258,3507,343,353,445,20,33,22,15,8,30,231,598,372
TX_maternal_00019206_TX_paternal_00021811,TX_maternal_00019206,TX_paternal_00021811,X,Y,164910533,175102439,164914912,175106103,711,5,0,20,14,10,7,0,38,8,2,14,1,582,50,86,105,0,0,1,0,2,0,43,44,58
TX_maternal_00019209_TX_paternal_00021808,TX_maternal_00019209,TX_paternal_00021808,X,Y,165037091,174872180,165038247,174874849,595,173,131,228,239,347,364,202,163,592,112,226,440,615,162,150,277,3,2,6,4,8,11,118,307,445
TX_maternal_00019210_TX_paternal_00021807,TX_maternal_00019210,TX_paternal_00021807,X,Y,165119483,174680057,165124957,174698912,1673,96,137,165,267,383,291,363,337,294,179,322,146,1979,176,210,171,13,2,0,7,0,4,305,264,218
TX_maternal_00019220_TX_paternal_00021535,TX_maternal_00019220,TX_paternal_00021535,X,Y,165971550,131691861,165973931,131694239,1246,65,67,162,107,157,231,64,98,339,41,150,208,1327,120,48,98,0,0,2,0,0,2,60,105,104
TX_maternal_00019221_TX_paternal_00021540,TX_maternal_00019221,TX_paternal_00021540,X,Y,166247203,132351100,166251419,132352377,793,155,198,181,272,304,319,320,218,351,169,322,171,738,292,313,326,0,0,2,1,0,0,269,453,222
TX_maternal_00019234_TX_paternal_00022451,TX_maternal_00019234,TX_paternal_00022451,X,Y,166878359,258186560,166881800,258189926,1272,79,126,128,188,263,195,214,143,166,108,275,60,1661,188,188,227,11,45,35,45,29,31,168,374,220
TX_maternal_00019236_TX_paternal_00022427,TX_maternal_00019236,TX_paternal_00022427,X,Y,166951406,256891419,166952593,256892600,1025,58,65,76,92,111,91,144,103,140,57,99,61,1019,85,89,141,44,34,18,20,41,33,123,182,78
TX_maternal_00019237_TX_paternal_00022439,TX_maternal_00019237,TX_paternal_00022439,X,Y,166982881,257353021,166984990,257355119,825,37,158,72,64,130,100,159,54,153,73,108,41,940,50,38,59,0,1,0,0,0,1,49,96,43
TX_maternal_00019239_TX_paternal_00022441,TX_maternal_00019239,TX_paternal_00022441,X,Y,167096881,257423412,167103611,257430159,2043,400,381,457,1239,1139,995,849,806,1444,231,725,451,2043,275,300,344,27,24,27,21,25,27,180,459,250
TX_maternal_00019240_TX_paternal_00022444,TX_maternal_00019240,TX_paternal_00022444,X,Y,167103931,257739885,167114491,257747407,2035,20,12,10,23,43,21,22,18,13,13,60,8,855,3,0,1,0,0,0,0,1,0,0,2,4
TX_maternal_00019241_TX_paternal_00022445,TX_maternal_00019241,TX_paternal_00022445,X,Y,167116706,257748710,167122285,257756861,1707,12,10,10,0,17,5,3,4,6,18,16,3,1668,19,8,12,2,21,5,2,6,16,38,34,10
TX_maternal_00019242_TX_paternal_00022446,TX_maternal_00019242,TX_paternal_00022446,X,Y,167153220,257884086,167154115,257885235,857,0,0,0,0,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019243_TX_paternal_00022426,TX_maternal_00019243,TX_paternal_00022426,X,Y,167277614,256696444,167278907,256697077,1153,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019247_TX_paternal_00021549,TX_maternal_00019247,TX_paternal_00021549,X,Y,167717766,133130978,167723364,133134626,3953,91,79,102,81,229,162,78,39,206,101,125,26,2051,0,0,0,1,0,0,0,0,0,2,0,0
TX_maternal_00019248_TX_paternal_00021550,TX_maternal_00019248,TX_paternal_00021550,X,Y,167723955,133135794,167725465,133137806,408,51,36,62,105,154,115,52,50,189,67,122,82,808,155,164,231,14,11,20,8,5,21,196,218,306
TX_maternal_00019249_TX_paternal_00021555,TX_maternal_00019249,TX_paternal_00021555,X,Y,167765991,133853314,167768935,133856494,2164,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019250_TX_paternal_00021557,TX_maternal_00019250,TX_paternal_00021557,X,Y,167857597,134057059,167858166,134057626,311,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019254_TX_paternal_00021558,TX_maternal_00019254,TX_paternal_00021558,X,Y,167984755,134243396,167986757,134246793,837,57,65,47,34,41,55,61,41,79,37,38,55,1035,19,22,24,0,6,16,0,0,0,18,46,39
TX_maternal_00019255_TX_paternal_00021559,TX_maternal_00019255,TX_paternal_00021559,X,Y,167992215,134253696,167999391,134260977,4245,7,1,4,2,4,3,1,0,17,1,4,3,4245,2,1,5,0,0,0,0,0,0,2,2,3
TX_maternal_00019285_TX_paternal_00022373,TX_maternal_00019285,TX_paternal_00022373,X,Y,170373768,250388474,170376563,250438661,633,2747,2646,985,5181,5236,3437,9148,5573,3372,994,2836,2229,954,932,2087,999,25,37,47,121,55,20,674,2008,1322
TX_maternal_00019287_TX_paternal_00022372,TX_maternal_00019287,TX_paternal_00022372,X,Y,170406481,250329979,170407615,250332283,1134,105,50,103,99,157,151,119,59,273,97,99,70,1345,157,126,182,7,5,30,12,2,20,172,283,182
TX_maternal_00019290_TX_paternal_00022367,TX_maternal_00019290,TX_paternal_00022367,X,Y,170745277,249836314,170748981,249843614,1299,501,504,684,1102,1515,1232,1413,978,1178,586,1031,578,1809,370,450,502,2,4,3,10,3,4,604,867,459
TX_maternal_00019293_TX_paternal_00022363,TX_maternal_00019293,TX_paternal_00022363,X,Y,170869087,249454350,170872168,249467258,1369,105,94,187,236,349,261,112,119,465,111,203,218,1717,151,132,143,4,3,0,2,0,0,103,340,164
TX_maternal_00019300_TX_paternal_00022331,TX_maternal_00019300,TX_paternal_00022331,X,Y,171140280,246711221,171145199,246720354,1684,39,23,41,25,41,31,45,26,33,53,23,25,750,19,32,3,14,36,11,16,7,16,16,0,15
TX_maternal_00019305_TX_paternal_00022354,TX_maternal_00019305,TX_paternal_00022354,X,Y,171245489,248915264,171247349,248916954,1271,3,2,4,0,0,0,0,0,13,0,0,21,1106,0,0,0,0,0,0,0,0,0,1,0,0
TX_maternal_00019315_TX_paternal_00023585,TX_maternal_00019315,TX_paternal_00023585,X,Y,171524576,432297652,171525621,432299939,916,5,5,4,1,0,2,5,11,0,2,9,2,906,0,0,1,0,0,0,0,0,0,0,1,1
TX_maternal_00019317_TX_paternal_00023587,TX_maternal_00019317,TX_paternal_00023587,X,Y,171583878,432343842,171585640,432344485,372,7,23,19,21,44,93,16,26,48,0,27,16,553,8,5,3,0,0,0,0,0,0,2,3,0
TX_maternal_00019350_TX_paternal_00021425,TX_maternal_00019350,TX_paternal_00021425,X,Y,172813278,120694713,172831359,120696491,1791,24,23,51,44,24,32,60,64,33,41,67,20,1248,19,46,38,7,6,1,14,2,0,71,114,45
TX_maternal_00019356_TX_paternal_00021656,TX_maternal_00019356,TX_paternal_00021656,X,Y,173340771,147621524,173347541,147701049,1652,0,0,0,0,4,4,3,3,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019358_TX_paternal_00021653,TX_maternal_00019358,TX_paternal_00021653,X,Y,173418317,147206157,173422184,147213611,1743,1,1,2,5,0,1,1,2,2,1,3,0,1671,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019361_TX_paternal_00021651,TX_maternal_00019361,TX_paternal_00021651,X,Y,173758043,146793170,173766375,146800928,4133,291,485,331,804,996,637,760,613,739,741,752,353,3680,352,477,489,86,48,50,9,62,61,747,920,437
TX_maternal_00019367_TX_paternal_00021647,TX_maternal_00019367,TX_paternal_00021647,X,Y,174128774,145506235,174131950,145508703,2244,4,7,16,27,27,13,48,20,19,49,40,22,2359,8,16,11,3,4,2,6,2,7,27,39,5
TX_maternal_00019368_TX_paternal_00021642,TX_maternal_00019368,TX_paternal_00021642,X,Y,174230440,145061830,174239025,145063315,1934,142,175,275,242,367,283,258,152,268,140,379,220,483,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019372_TX_paternal_00021627,TX_maternal_00019372,TX_paternal_00021627,X,Y,174710865,143421853,174714218,143425221,1168,433,704,816,856,1071,1016,771,800,1238,877,875,478,1171,218,357,379,20,38,22,29,19,10,358,645,270
TX_maternal_00019373_TX_paternal_00021626,TX_maternal_00019373,TX_paternal_00021626,X,Y,174739026,143352879,174740536,143355005,536,82,38,81,134,155,160,79,96,197,83,81,73,521,83,53,86,0,1,0,0,1,0,40,111,68
TX_maternal_00019374_TX_paternal_00021625,TX_maternal_00019374,TX_paternal_00021625,X,Y,174741334,143336573,174743859,143340153,1212,76,235,202,257,248,178,460,267,194,210,257,147,1002,30,7,2,4,17,27,16,15,31,27,35,11
TX_maternal_00019376_TX_paternal_00021622,TX_maternal_00019376,TX_paternal_00021622,X,Y,174807402,143189530,174816689,143194250,2521,5,4,8,4,12,1,5,0,37,2,5,36,2158,0,0,0,0,1,0,0,0,0,0,2,2
TX_maternal_00019377_TX_paternal_00021621,TX_maternal_00019377,TX_paternal_00021621,X,Y,174813072,143181414,174818052,143185689,1079,187,211,410,312,326,283,269,155,668,150,375,258,1049,245,210,487,5,49,92,11,28,141,124,553,306
TX_maternal_00019383_TX_paternal_00021617,TX_maternal_00019383,TX_paternal_00021617,X,Y,175086416,142856703,175090001,142860325,1002,59,41,84,80,119,124,102,96,142,100,112,67,1002,65,96,75,19,14,9,24,6,9,95,135,67
TX_maternal_00019384_TX_paternal_00021618,TX_maternal_00019384,TX_paternal_00021618,X,Y,175090984,142861302,175095181,142865477,3748,1,1,1,0,1,3,1,0,3,10,10,0,3466,0,0,0,0,0,0,0,0,0,0,0,1
TX_maternal_00019385_TX_paternal_00021619,TX_maternal_00019385,TX_paternal_00021619,X,Y,175095867,142876949,175096968,142878299,1097,2,0,2,0,0,1,0,0,2,3,5,2,1310,0,0,0,0,0,0,0,0,0,0,1,0
TX_maternal_00019388_TX_paternal_00021419,TX_maternal_00019388,TX_paternal_00021419,X,Y,175156990,119764108,175158752,119772091,483,13,36,36,37,90,83,51,49,83,32,88,43,480,10,15,3,5,2,1,0,1,2,1,0,0
TX_maternal_00019389_TX_paternal_00021417,TX_maternal_00019389,TX_paternal_00021417,X,Y,175178047,119706277,175182947,119711170,958,73,76,106,118,186,170,118,111,212,85,149,113,940,92,89,138,1,5,2,1,1,5,77,155,95
TX_maternal_00019392_TX_paternal_00021409,TX_maternal_00019392,TX_paternal_00021409,X,Y,175315614,119328265,175324604,119337285,2202,198,200,232,397,489,393,475,339,589,314,468,304,2241,256,243,314,3,9,10,13,5,9,443,442,308
TX_maternal_00019393_TX_paternal_00021408,TX_maternal_00019393,TX_paternal_00021408,X,Y,175341599,119269311,175345022,119271122,1755,1,3,4,2,1,3,5,1,8,0,10,2,981,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019395_TX_paternal_00021407,TX_maternal_00019395,TX_paternal_00021407,X,Y,175473386,119020068,175482386,119028259,1319,49,45,40,78,140,100,156,73,124,100,79,47,1250,86,105,146,34,29,22,26,19,20,147,188,100
TX_maternal_00019399_TX_paternal_00021404,TX_maternal_00019399,TX_paternal_00021404,X,Y,175565737,118796631,175575910,118806620,2387,441,183,410,447,1164,633,676,356,1609,310,409,402,2181,174,82,228,14,28,33,15,4,22,194,257,237
TX_maternal_00019400_TX_paternal_00021402,TX_maternal_00019400,TX_paternal_00021402,X,Y,175594091,118564433,175596214,118567222,1644,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019401_TX_paternal_00021401,TX_maternal_00019401,TX_paternal_00021401,X,Y,175599544,118548577,175612833,118562152,3120,254,387,417,836,1011,832,991,925,827,398,634,523,3108,490,760,598,258,278,265,187,111,252,846,1056,460
TX_maternal_00019404_TX_paternal_00021394,TX_maternal_00019404,TX_paternal_00021394,X,Y,175903110,117421059,175904614,117421863,1163,52,34,70,137,66,120,58,54,106,19,83,9,557,29,41,21,0,1,0,0,0,0,6,15,5
TX_maternal_00019405_TX_paternal_00021391,TX_maternal_00019405,TX_paternal_00021391,X,Y,175986455,117078991,175990022,117081753,1317,110,135,143,286,240,415,152,131,199,97,271,182,1033,7,5,7,22,20,19,2,7,0,18,25,0
TX_maternal_00019407_TX_paternal_00021390,TX_maternal_00019407,TX_paternal_00021390,X,Y,176058519,117041051,176060784,117042225,803,938,739,1282,985,1509,1441,495,546,4097,286,696,1062,749,899,798,1342,22,3,5,2,3,7,476,1064,1158
TX_maternal_00019411_TX_paternal_00021383,TX_maternal_00019411,TX_paternal_00021383,X,Y,176274314,116703903,176277161,116707857,1787,7,16,21,49,25,40,101,467,17,15,44,24,1934,33,52,47,8,1,2,7,50,0,45,68,39
TX_maternal_00019412_TX_paternal_00021382,TX_maternal_00019412,TX_paternal_00021382,X,Y,176282749,116676469,176283763,116677571,484,1,0,0,0,0,13,0,0,0,0,0,0,622,0,0,0,0,0,7,0,0,0,0,0,0
TX_maternal_00019414_TX_paternal_00021376,TX_maternal_00019414,TX_paternal_00021376,X,Y,176406049,115280214,176408697,115282825,1401,2,0,0,6,12,6,2,1,2,0,1,0,1360,1,0,0,0,0,0,0,0,1,0,0,0
TX_maternal_00019416_TX_paternal_00021373,TX_maternal_00019416,TX_paternal_00021373,X,Y,176558339,114922931,176560861,114925305,1845,3,50,5,5,1,1,21,0,9,0,2,2,1845,4,2,2,0,0,0,0,0,0,0,1,1
TX_maternal_00019421_TX_paternal_00021575,TX_maternal_00019421,TX_paternal_00021575,X,Y,176743009,138223705,176750424,138231138,3273,1109,891,1605,2609,1995,1831,1326,1185,3189,821,2112,1554,3273,1879,1954,2186,198,679,1139,423,336,1677,1699,2568,1661
TX_maternal_00019439_TX_paternal_00021738,TX_maternal_00019439,TX_paternal_00021738,X,Y,179888746,163129634,179889515,163130403,763,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019440_TX_paternal_00021740,TX_maternal_00019440,TX_paternal_00021740,X,Y,179989523,163808512,179996837,163816470,4789,210,310,299,520,759,426,436,415,532,375,467,219,5397,185,298,278,21,21,28,13,15,17,347,447,254
TX_maternal_00019442_TX_paternal_00021742,TX_maternal_00019442,TX_paternal_00021742,X,Y,180477033,164411284,180482559,164417465,1563,630,546,735,939,1205,1049,865,866,1312,632,847,987,1670,39,33,25,68,0,3,1,0,3,39,41,37
TX_maternal_00019443_TX_paternal_00021744,TX_maternal_00019443,TX_paternal_00021744,X,Y,180576535,164778098,180579342,164779251,1153,373,627,438,966,855,953,521,676,1296,393,986,437,855,353,829,478,88,66,111,36,50,150,648,1198,410
TX_maternal_00019445_TX_paternal_00021746,TX_maternal_00019445,TX_paternal_00021746,X,Y,180687380,164934040,180687872,164934526,415,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019447_TX_paternal_00021749,TX_maternal_00019447,TX_paternal_00021749,X,Y,180992399,165373782,180995616,165376807,1384,37,54,46,80,96,68,75,53,115,39,62,42,1574,64,129,112,1,0,0,1,0,1,85,160,87
TX_maternal_00019449_TX_paternal_00021754,TX_maternal_00019449,TX_paternal_00021754,X,Y,181156920,166311395,181158028,166312503,1010,0,0,0,2,0,0,0,0,0,0,0,0,1010,0,0,3,1,0,0,0,0,0,0,0,0
TX_maternal_00019452_TX_paternal_00021755,TX_maternal_00019452,TX_paternal_00021755,X,Y,181241976,166724699,181472099,166735469,2949,98,150,188,312,322,329,392,210,451,290,269,290,3561,1066,1039,1475,67,156,57,21,124,99,1696,2225,1546
TX_maternal_00019453_TX_paternal_00021759,TX_maternal_00019453,TX_paternal_00021759,X,Y,181495979,166758746,181499131,166760751,3028,750,861,965,1487,2498,1108,1285,604,1756,1141,1449,813,1881,179,118,132,2,24,3,14,1,34,152,178,131
TX_maternal_00019455_TX_paternal_00021762,TX_maternal_00019455,TX_paternal_00021762,X,Y,181520104,167076152,181524615,167080636,906,1,3,9,14,20,2,7,12,0,1,13,2,489,3,3,4,0,1,0,5,0,0,4,7,3
TX_maternal_00019456_TX_paternal_00021763,TX_maternal_00019456,TX_paternal_00021763,X,Y,181654315,167375087,181657716,167378237,1565,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,0,1,0,0,0,0,0,0,0,1,0
TX_maternal_00019457_TX_paternal_00021767,TX_maternal_00019457,TX_paternal_00021767,X,Y,181836434,167593860,181837635,167594313,339,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019460_TX_paternal_00021768,TX_maternal_00019460,TX_paternal_00021768,X,Y,181995932,167852944,181997280,167855140,823,60,66,85,82,73,129,84,70,159,42,85,87,705,32,66,55,7,39,0,2,3,5,34,192,52
TX_maternal_00019461_TX_paternal_00021769,TX_maternal_00019461,TX_paternal_00021769,X,Y,181997931,167855238,182004270,167861279,2685,199,274,304,620,820,506,583,444,712,309,532,356,2544,235,332,283,6,0,47,0,1,14,511,561,348
TX_maternal_00019466_TX_paternal_00021770,TX_maternal_00019466,TX_paternal_00021770,X,Y,182082686,168000264,182084734,168002311,937,179,81,275,106,278,220,86,113,612,43,226,538,937,151,121,270,6,0,30,8,2,41,89,234,577
TX_maternal_00019467_TX_paternal_00021771,TX_maternal_00019467,TX_paternal_00021771,X,Y,182136938,168083938,182144771,168090749,1467,2,1,2,1,20,2,5,3,8,70,1,1,3066,0,0,0,0,1,0,0,0,1,0,0,0
TX_maternal_00019468_TX_paternal_00021772,TX_maternal_00019468,TX_paternal_00021772,X,Y,182213518,168291349,182216054,168302158,1163,26,86,79,78,86,70,444,657,31,77,156,50,915,0,10,4,3,3,8,18,59,0,3,14,4
TX_maternal_00019469_TX_paternal_00021773,TX_maternal_00019469,TX_paternal_00021773,X,Y,182261955,168430569,182269196,168470656,1833,33,191,114,213,150,67,430,52,79,36,286,37,2232,50,70,173,9,18,27,0,97,34,117,208,104
TX_maternal_00019473_TX_paternal_00021778,TX_maternal_00019473,TX_paternal_00021778,X,Y,182532865,171435118,182534056,171468832,659,659,375,767,541,1051,803,387,292,2035,333,615,936,716,524,332,733,27,32,53,15,26,15,146,474,614
TX_maternal_00019476_TX_paternal_00021779,TX_maternal_00019476,TX_paternal_00021779,X,Y,182711691,171763534,182714409,171766779,606,6,0,0,0,7,7,0,1,6,3,6,1,606,4,12,1,2,0,6,0,0,0,14,22,15
TX_maternal_00019477_TX_paternal_00021781,TX_maternal_00019477,TX_paternal_00021781,X,Y,182757548,172233497,182760517,172236474,1022,29,45,65,74,108,144,88,53,97,39,95,60,1022,103,87,124,27,58,34,41,24,49,123,254,107
TX_maternal_00019480_TX_paternal_00021784,TX_maternal_00019480,TX_paternal_00021784,X,Y,182919876,172499699,182924380,172502124,1509,63,81,127,153,154,159,142,103,125,72,152,112,942,87,142,145,1,1,0,0,1,8,117,227,127
TX_maternal_00019485_TX_paternal_00020778,TX_maternal_00019485,TX_paternal_00020778,X,Y,183524458,82524176,183526297,82526019,1145,0,0,0,0,2,2,0,0,0,2,1,0,1146,2,0,2,0,2,1,0,0,0,3,3,0
TX_maternal_00019487_TX_paternal_00020779,TX_maternal_00019487,TX_paternal_00020779,X,Y,183851396,82741522,183855691,82743549,2183,201,138,194,222,447,238,425,111,224,430,241,98,1503,17,7,12,12,39,21,27,8,17,34,20,11
TX_maternal_00019488_TX_paternal_00020780,TX_maternal_00019488,TX_paternal_00020780,X,Y,183856550,82770782,183858870,82772897,1497,0,0,0,0,0,0,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019490_TX_paternal_00020784,TX_maternal_00019490,TX_paternal_00020784,X,Y,184190893,82908334,184250671,83032699,762,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019491_TX_paternal_00020787,TX_maternal_00019491,TX_paternal_00020787,X,Y,184253734,83083946,184284954,83085357,1581,0,0,1,1,17,1,6,4,0,1,2,0,1266,0,0,1,0,2,0,0,0,0,1,3,0
TX_maternal_00019495_TX_paternal_00020790,TX_maternal_00019495,TX_paternal_00020790,X,Y,184515009,83631537,184518155,83634416,1500,61,81,86,127,137,144,113,109,147,101,150,67,1359,90,349,129,0,0,0,0,0,0,143,209,88
TX_maternal_00019496_TX_paternal_00020791,TX_maternal_00019496,TX_paternal_00020791,X,Y,184518882,83635144,184520590,83636855,1620,47,106,42,45,116,111,147,75,98,59,95,63,1623,107,132,163,55,78,89,63,61,56,117,310,111
TX_maternal_00019497_TX_paternal_00022955,TX_maternal_00019497,TX_paternal_00022955,X,Y,184528363,341718100,184692597,341723271,1869,54,59,109,286,178,183,127,137,218,243,282,100,1935,105,230,206,14,11,11,15,4,14,532,521,148
TX_maternal_00019499_TX_paternal_00022958,TX_maternal_00019499,TX_paternal_00022958,X,Y,184976157,342644334,184981967,342650038,992,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00019500_TX_paternal_00022959,TX_maternal_00019500,TX_paternal_00022959,X,Y,184982452,342661384,184985614,342664543,3004,5,1,0,4,1,2,1,6,1,4,6,3,3004,3,1,4,2,0,0,0,0,1,1,5,1
TX_maternal_00019501_TX_paternal_00022960,TX_maternal_00019501,TX_paternal_00022960,X,Y,184986149,342662025,184987708,342667759,810,26,38,36,77,106,100,61,52,127,31,37,39,1023,34,28,43,5,7,6,5,1,14,19,57,20
TX_maternal_00019502_TX_paternal_00022963,TX_maternal_00019502,TX_paternal_00022963,X,Y,185114824,342877138,185116885,342881011,692,12,12,22,45,57,49,33,52,57,49,46,52,1425,0,0,0,0,2,0,0,0,0,2,0,0
TX_maternal_00019503_TX_paternal_00022965,TX_maternal_00019503,TX_paternal_00022965,X,Y,185226973,343028610,185231111,343033124,2295,113,114,171,167,206,212,101,160,284,116,248,178,1704,10,37,57,14,12,4,7,17,20,36,99,32
TX_maternal_00019511_TX_paternal_00020599,TX_maternal_00019511,TX_paternal_00020599,X,Y,186294338,59707333,186295315,59708310,195,6,1,7,16,9,4,15,11,20,5,20,6,195,1,0,12,1,2,4,6,6,2,15,6,7
TX_maternal_00019512_TX_paternal_00020598,TX_maternal_00019512,TX_paternal_00020598,X,Y,186294680,59704285,186298369,59707769,799,577,340,707,658,733,795,685,577,1192,238,835,676,952,490,338,695,23,16,22,13,9,20,197,706,610
TX_maternal_00019515_TX_paternal_00020596,TX_maternal_00019515,TX_paternal_00020596,X,Y,186337707,59542918,186340833,59546053,1544,18,22,28,23,48,43,25,27,45,27,54,9,1544,49,39,87,17,10,10,11,7,27,114,65,49
TX_maternal_00019516_TX_paternal_00020595,TX_maternal_00019516,TX_paternal_00020595,X,Y,186357378,59373724,186360891,59377307,2034,1650,2158,1907,5429,7023,9044,6307,9437,4269,945,2490,1655,2437,1698,2309,1520,533,36,42,481,777,394,1021,1891,1400
TX_maternal_00019517_TX_paternal_00020594,TX_maternal_00019517,TX_paternal_00020594,X,Y,186414243,59208721,186415028,59210489,457,46,118,197,137,165,172,206,114,167,90,220,100,509,84,144,202,5,6,6,2,1,6,131,249,151
TX_maternal_00019518_TX_paternal_00020593,TX_maternal_00019518,TX_paternal_00020593,X,Y,186415753,59205619,186418010,59207879,357,31,45,47,28,51,43,37,38,60,51,41,27,393,41,40,28,3,0,1,1,3,1,32,58,28
TX_maternal_00019521_TX_paternal_00020590,TX_maternal_00019521,TX_paternal_00020590,X,Y,186628585,58460771,186631800,58464963,1104,301,334,369,727,448,584,479,438,763,249,369,358,1347,34,38,46,0,0,0,4,2,0,39,87,54
TX_maternal_00019522_TX_paternal_00023043,TX_maternal_00019522,TX_paternal_00023043,X,Y,186868613,355929567,186871517,355932441,1320,530,658,756,1253,1231,1521,998,1050,1296,369,722,504,1302,363,441,477,320,331,436,234,249,412,244,523,336
